Index,EAN,Internal ID,Stock,Price
1,8939435015193,72,309,683
2,8276888147430,61,121,959
3,7615737164494,22,221,683
4,3807573313035,61,702,227
5,1116135351067,83,650,746
6,6720617475254,86,909,571
7,6101147551937,5,762,835
8,4394718618227,96,732,366
9,9954447152628,24,423,844
10,6443882595778,56,254,266
11,6356941230117,58,204,309
12,3754821192013,43,169,755
13,1069151000863,23,373,680
14,1218319128516,4,987,45
15,7014183698193,47,115,579
16,9235201887698,41,124,494
17,7363101110898,58,763,966
18,9859373816159,52,557,84
19,7452231312262,49,418,779
20,4583691200455,74,199,637
21,0097380390418,26,120,537
22,1957019477462,76,528,905
23,7023711756106,35,662,586
24,8105829508941,12,39,384
25,2077363967507,16,478,351
26,2638691880090,19,578,723
27,3379463231953,79,545,223
28,4062036177374,61,861,933
29,0399371864084,47,39,810
30,5402031105573,58,967,486
31,1967524079327,95,590,190
32,1889140287361,21,402,888
33,8609703830291,8,570,855
34,0376038356496,54,393,983
35,2749586423633,63,409,777
36,4881887299420,72,352,426
37,9577279766940,35,961,82
38,0950518172730,50,129,957
39,7124642288206,2,655,102
40,4606590436104,61,45,80
41,0732701799807,88,834,429
42,6813736219585,46,912,574
43,1893833940730,50,324,207
44,5188009113015,43,365,681
45,0966280390692,27,45,678
46,2274827903334,38,615,691
47,0755778057847,34,589,815
48,3221947540009,22,902,7
49,9824479532661,4,804,872
50,2037339656637,91,169,575
51,2142111757249,53,696,952
52,2281461494418,61,606,297
53,8486491527127,98,920,906
54,0445809333148,66,432,65
55,2479326197547,97,250,976
56,4608910977267,50,712,831
57,8523720317903,88,155,729
58,7917848126102,99,309,418
59,3561719740795,87,730,897
60,0691097931065,89,564,618
61,7683966108923,20,98,553
62,2365543340050,32,323,543
63,9855038801904,98,587,869
64,6167204964904,32,225,489
65,5298084875514,16,74,774
66,8006780821691,94,108,256
67,8115317262101,27,724,490
68,4474140466013,80,727,656
69,9165511299648,22,156,333
70,5904410900651,65,304,113
71,7675055722578,31,601,486
72,9998189908341,88,936,138
73,6764047742487,86,126,42
74,1126179261468,4,772,811
75,1006342058050,16,625,703
76,9990375714781,4,827,34
77,4411946986451,98,31,731
78,2880899564719,75,210,668
79,0767232582802,36,171,403
80,7106838968765,75,210,533
81,3247791602755,23,474,234
82,1250039756662,29,581,146
83,8120640260694,80,409,106
84,3873016761442,59,651,399
85,0428027845983,41,523,566
86,2942407736787,39,399,459
87,4826169874032,39,1,858
88,4198637855097,61,781,779
89,7031454084042,72,113,918
90,0563222954679,18,117,683
91,2185307551665,36,321,610
92,8656440936250,75,56,94
93,0061472190866,70,607,901
94,1916323295711,9,315,871
95,1677499654886,15,372,605
96,6238570987269,8,434,272
97,9382917689952,76,823,913
98,6764362931979,1,377,481
99,8155344185097,57,433,433
100,8329337728688,96,61,202
101,3535405730377,34,888,277
102,2993650067227,7,154,231
103,5033559298654,58,746,125
104,0863130338845,45,483,775
105,5164666341572,86,238,664
106,6861874386027,18,696,675
107,7287448449872,19,279,835
108,0860549845292,98,576,829
109,0483371901839,60,343,683
110,2561999716436,93,680,601
111,6534726381111,68,821,217
112,9477566977984,46,941,259
113,1179580219559,77,679,653
114,4760218690788,81,216,693
115,2268704572706,76,718,479
116,6546129167599,14,12,591
117,3172786523169,7,900,428
118,6302445706108,36,483,133
119,7830993903483,45,586,843
120,4104191573810,92,925,199
121,5678351245200,38,604,997
122,7234753589168,4,705,742
123,9726744717592,28,318,224
124,7054134422057,63,862,711
125,0908216397450,92,397,910
126,4936848704304,6,956,941
127,7671159518093,26,502,268
128,7083061273876,3,301,218
129,1413276628912,56,200,533
130,3875638435893,94,461,757
131,4799172066117,7,240,492
132,1230127995838,48,404,255
133,1654025468155,3,950,400
134,6660715585199,17,10,870
135,1901153752725,73,511,792
136,5765753691138,70,179,178
137,1365910795880,54,865,455
138,3660154337796,31,509,110
139,2134692874835,54,432,132
140,7677518675506,28,914,638
141,7346385725859,80,793,805
142,4967874343403,28,926,731
143,2332902013399,1,697,330
144,9574609434616,28,90,51
145,5641673863520,67,458,278
146,7538731442293,84,952,27
147,9044665441618,93,686,95
148,0202450397062,17,394,935
149,5020686144817,36,81,216
150,9033987910049,51,485,655
151,2843616222248,52,171,775
152,3445214228395,99,135,916
153,7556943357662,82,661,294
154,9617344509727,70,548,833
155,7172745522840,30,156,171
156,7259465973807,63,549,352
157,9168108723700,79,12,50
158,2317505368138,39,489,683
159,5584807450961,64,630,462
160,9855139562742,86,690,59
161,8358086915667,52,781,850
162,8383704956661,70,668,215
163,7115368268825,97,990,571
164,8989473219794,1,194,195
165,9878287513442,78,281,399
166,9424660432369,78,868,620
167,5070541081054,66,972,340
168,4797131567934,41,563,536
169,2131671238312,35,347,983
170,7797860730965,10,779,29
171,0335885057499,71,89,540
172,3070010751862,73,176,751
173,4650472894360,32,765,107
174,1154206118386,36,835,693
175,0196545115382,56,613,432
176,9860751796956,69,720,692
177,7598171217080,66,104,723
178,4056645225311,93,401,990
179,4711725834851,75,283,910
180,1069369138426,84,218,793
181,1347247761530,17,471,415
182,0358015938673,59,100,886
183,7633472930112,70,80,746
184,4494182533115,60,20,766
185,7773564071740,15,353,252
186,1906643297199,7,986,621
187,5478305520571,63,874,383
188,5268596447820,79,248,981
189,6995222122705,88,539,677
190,6630813485141,83,420,571
191,4297803231854,22,510,473
192,4302444423060,98,88,362
193,0907057581202,14,601,726
194,9410446373889,52,118,192
195,6937631125045,80,754,81
196,7221559964664,10,48,955
197,7043318749486,70,692,123
198,2171258665612,45,78,348
199,3707876056526,96,504,980
200,4742090438849,59,38,586
201,3197431371377,37,536,63
202,9986984184817,32,242,350
203,5863079045168,60,818,47
204,0199354462180,7,764,435
205,6849121872165,61,506,135
206,4219520943926,74,2,556
207,9434267590119,47,434,791
208,9128027522099,24,335,50
209,3224158159466,7,137,842
210,3404738092042,40,84,169
211,7815644658219,30,546,962
212,4546255681626,2,44,615
213,2598454933237,78,495,682
214,1755905951344,64,300,46
215,0519935452803,47,264,801
216,9995780321678,91,770,496
217,1660250419923,73,402,240
218,8711981419225,13,676,965
219,6498675467572,22,458,704
220,9297469336042,92,511,428
221,2754409902882,5,675,769
222,8615064636823,72,440,635
223,7427706358922,62,931,953
224,2048420831277,14,584,66
225,2436251441855,96,447,612
226,0328139142683,59,82,322
227,7240151303190,78,141,793
228,5415811838837,89,276,45
229,3458657398716,90,640,215
230,3782565892135,21,951,60
231,1545845829755,21,251,153
232,7530752129399,43,155,444
233,9636534787806,88,227,523
234,6215841370838,82,770,417
235,0332241679296,90,825,615
236,0174179227657,96,925,119
237,0819058813568,67,275,284
238,6514562666825,85,280,593
239,5672174160252,17,490,525
240,8643178005242,84,985,767
241,2575623348955,94,929,530
242,0824847839636,91,954,237
243,2596681860371,10,16,310
244,3533266014346,75,751,628
245,3654554614021,33,209,822
246,1996273517262,78,757,142
247,4987886610614,67,649,366
248,2315882707298,61,429,888
249,0671234187081,13,205,139
250,6926041297596,99,637,12
251,0770412597480,55,625,968
252,3856900376328,40,829,988
253,1609189462891,18,385,742
254,6047817575318,53,620,447
255,8136503412711,18,740,873
256,2800378085504,56,536,524
257,7299487332992,86,177,479
258,2374245062795,92,607,990
259,8036321455924,29,106,141
260,5024579810261,4,728,849
261,3221080056863,70,346,860
262,4689871414695,2,343,648
263,6433327437268,56,152,433
264,7544509376912,97,346,505
265,1359639437510,25,845,951
266,6491821871872,40,319,651
267,1945079749254,20,199,724
268,8916567714262,98,774,727
269,2750780413641,28,417,252
270,2789748709724,7,474,458
271,8751423407229,54,293,434
272,2147705688237,66,248,809
273,5351921100290,32,269,714
274,9225859363699,41,461,225
275,0397114098260,11,384,242
276,2738551568752,99,66,189
277,8835582110807,86,439,797
278,1012696166457,74,472,959
279,9496451008602,48,581,787
280,2443130835599,86,674,151
281,5683802415118,73,439,130
282,1952619740862,29,402,983
283,8940598495852,27,632,866
284,0996289525344,22,756,344
285,2294269743503,15,236,444
286,3615491747883,99,575,739
287,5443525657543,68,998,904
288,6229102189138,66,727,190
289,3403627110089,57,39,301
290,6088448882741,23,932,109
291,9953271536628,58,922,551
292,0063034091260,76,314,758
293,0223096140126,60,64,983
294,8925936095932,26,122,774
295,6504018357582,87,18,791
296,5259243687546,4,982,360
297,1027142096660,67,51,38
298,5448288953505,45,476,757
299,2476479730454,3,210,232
300,5963121768172,34,134,699
301,1139063112982,94,818,437
